nb-points,sum-abs
1,1.0000000000000000e+00
2,1.0000000000000000e+00
3,1.0000000000000000e+00
4,1.0000000000000000e+00
5,9.9999999999999989e-01
6,1.0000000000000000e+00
7,1.1480099732200575e+00
8,1.0000000000000000e+00
9,1.1616980965529158e+00
10,1.0838365368294864e+00
11,1.0308279593918286e+00
12,1.0499679766184016e+00
13,1.2984154179046892e+00
14,1.0614932248789848e+00
15,1.1516714006054465e+00
16,1.2354303136666418e+00
17,1.1601312038573741e+00
18,1.0368890748169302e+00
19,1.2606042142085019e+00
20,1.2032611106671651e+00
21,1.2271630524225443e+00
22,1.1090709510435712e+00
23,1.1256374794373949e+00
24,1.1206108461010920e+00
25,1.2659785658427956e+00
26,1.1280696456860295e+00
27,1.1540003542211292e+00
28,1.0997779247560846e+00
29,1.1149218349400407e+00
30,1.0762524389438786e+00
31,1.1136274694375605e+00
32,1.1386123720346186e+00
33,1.3362437740036055e+00
34,1.2579752115566729e+00
35,1.1982127173518260e+00
36,1.1630939650123853e+00
37,1.1051411270000495e+00
38,1.2217966959488267e+00
39,1.3991291455207420e+00
40,1.2504991886953021e+00
41,1.2765373914801714e+00
42,1.3486413545101601e+00
43,1.3026554558722778e+00
44,1.1287386106589090e+00
45,1.3900392172032419e+00
46,1.2629003360893352e+00
47,1.1409712595824040e+00
48,1.3549489532408936e+00
49,1.4355165718277607e+00
50,1.1230709793638332e+00
51,1.4590973530796771e+00
52,1.4930632565135398e+00
53,1.2278656812587485e+00
54,1.2318488936722105e+00
55,1.5127749978845144e+00
56,1.2083107910166007e+00
57,1.2051278696043275e+00
58,1.3857687572881034e+00
59,1.3036317379966436e+00
60,1.0669676569867015e+00
61,1.3953433032176477e+00
62,1.2746032218320593e+00
63,1.1617789282468782e+00
64,1.3031145363084240e+00
65,1.3932447372608570e+00
66,1.1663224228889386e+00
67,1.2984433750821007e+00
68,1.3697353967631212e+00
69,1.3070504520156252e+00
70,1.2676066300033795e+00
71,1.2921371713581349e+00
72,1.1886606075911186e+00
73,1.2673778745349056e+00
74,1.1333943550891870e+00
75,1.1579734550393919e+00
76,1.2573275975532263e+00
77,1.2139683992739736e+00
78,1.1318750831793867e+00
79,1.2958223412908658e+00
80,1.2528111470315468e+00
81,1.2200814208446984e+00
82,1.3022766576022957e+00
83,1.2529303149286368e+00
84,1.1271948943137549e+00
85,1.2909339461836389e+00
86,1.3045884206094547e+00
87,1.2500533248147683e+00
88,1.2791482569617232e+00
89,1.2037618412343598e+00
90,1.1311754168550199e+00
91,1.2127401254417145e+00
92,1.2438314992864494e+00
93,1.3432015960051951e+00
94,1.2665581125258447e+00
95,1.3002448506395761e+00
96,1.1742803209360138e+00
97,1.1927893979237369e+00
98,1.2153029612670279e+00
99,1.2799280266074806e+00
100,1.2913421236749745e+00
101,1.3636010323472041e+00
102,1.2756155603943276e+00
103,1.2368616163331663e+00
104,1.2145369999639550e+00
105,1.3278848311686746e+00
106,1.3408141642165372e+00
107,1.3439628184016750e+00
108,1.2903887111087315e+00
109,1.2115702688127825e+00
110,1.0887671477733607e+00
111,1.2094424798618419e+00
112,1.2480982554192743e+00
113,1.3639491050853922e+00
114,1.3584294057012829e+00
115,1.3851445418221080e+00
116,1.1412768020327160e+00
117,1.1352649878622534e+00
118,1.2581094937813060e+00
119,1.3245283597001540e+00
120,1.3235491402524657e+00
121,1.3070114313417993e+00
122,1.1973242581553940e+00
123,1.1735957760545832e+00
124,1.1782679393943505e+00
125,1.2671155850538767e+00
126,1.3043368170183405e+00
127,1.4037796853538123e+00
128,1.2583312771634585e+00
129,1.2245969837364594e+00
130,1.1850506522832944e+00
131,1.2206452726866115e+00
132,1.2994602760893950e+00
133,1.3839581303405477e+00
134,1.3299688290407354e+00
135,1.3079635909457390e+00
136,1.1814844975629224e+00
137,1.2153375904818400e+00
138,1.2713958130454155e+00
139,1.3234499921275797e+00
140,1.3189433317100989e+00
141,1.3168321959358176e+00
142,1.1908854585910034e+00
143,1.2137092213676253e+00
144,1.2086030163633981e+00
145,1.2476444605970367e+00
146,1.2678489062662797e+00
147,1.3628590140781187e+00
148,1.2639215039224294e+00
149,1.2520183755680658e+00
150,1.2658278645116090e+00
151,1.3094169062715710e+00
152,1.3097956404767737e+00
153,1.2679289396038251e+00
154,1.2443059791719371e+00
155,1.3914841210683764e+00
156,1.2994354846353930e+00
157,1.2844911206569221e+00
158,1.3591578809248062e+00
159,1.4134155487068285e+00
160,1.2665108583228113e+00
161,1.4488978351303787e+00
162,1.4442051907710045e+00
163,1.2561651169797527e+00
164,1.4187729829720848e+00
165,1.5708861027244456e+00
166,1.2867408667486306e+00
167,1.3302960405895694e+00
168,1.4934916902132223e+00
169,1.4633188789583522e+00
170,1.2912821741556093e+00
171,1.5678094589487583e+00
172,1.4250185329562526e+00
173,1.2181950621136790e+00
174,1.4198986006621261e+00
175,1.5670006692742415e+00
176,1.3209369078708151e+00
177,1.5390118972873743e+00
178,1.5159787479175835e+00
179,1.3374444528574401e+00
180,1.3028300938512403e+00
181,1.4399324754803560e+00
182,1.3791018045689338e+00
183,1.4356447823918859e+00
184,1.3519567385293598e+00
185,1.4208809269605966e+00
186,1.3703427880594863e+00
187,1.3551483185966458e+00
188,1.3760178666114666e+00
189,1.5050786992163685e+00
190,1.3520458294405404e+00
191,1.2786306002301850e+00
192,1.3876122650213285e+00
193,1.3107266161059627e+00
194,1.1274088917871481e+00
195,1.4158479236142181e+00
196,1.4054680042758549e+00
197,1.2185001375903632e+00
198,1.3757112364044339e+00
199,1.5044582423030599e+00
200,1.3426108568488766e+00
201,1.4239745842386833e+00
202,1.4360916258098826e+00
203,1.4588592924704071e+00
204,1.3838823126736539e+00
205,1.4688358325503936e+00
206,1.4110846446583440e+00
207,1.5354324884515265e+00
208,1.3807497208956947e+00
209,1.4262881353901680e+00
210,1.5212183269800406e+00
211,1.4829174187531777e+00
212,1.3549651888828584e+00
213,1.6986790157541836e+00
214,1.5642018976520118e+00
215,1.3112269321033174e+00
216,1.6352035336107891e+00
217,1.7130855494532002e+00
218,1.2478896357733182e+00
219,1.5445972361232247e+00
220,1.5840317156260795e+00
221,1.2851143956431845e+00
222,1.3640859868241642e+00
223,1.6910900931016426e+00
224,1.3464380130669642e+00
225,1.3781171552902634e+00
226,1.6704598559702153e+00
227,1.5549216643622270e+00
228,1.3208965995677351e+00
229,1.6342980660251700e+00
230,1.4893763725456246e+00
231,1.2911291484404428e+00
232,1.4452264643630883e+00
233,1.5121008048989086e+00
234,1.2959865976725486e+00
235,1.3853410302977363e+00
236,1.3676717044134139e+00
237,1.3365197938265716e+00
238,1.3761521418827372e+00
239,1.3910259907840270e+00
240,1.3344924458333043e+00
241,1.4683188381554375e+00
242,1.4062339146181122e+00
243,1.3865700594787325e+00
244,1.5162481997987936e+00
245,1.3939809424267136e+00
246,1.1778703558107912e+00
247,1.3758261120234989e+00
248,1.2646218692045281e+00
249,1.1619568024528222e+00
250,1.3799349356304500e+00
251,1.3629743627071202e+00
252,1.2442669191531359e+00
253,1.4203919451219960e+00
254,1.4188463328043737e+00
255,1.3293359391154185e+00
256,1.4307763453167015e+00
257,1.3686746608005460e+00
258,1.3091388764594978e+00
259,1.4219271752993625e+00
260,1.2985939154568928e+00
261,1.3311297045867765e+00
262,1.3924215326716793e+00
263,1.3680171883791110e+00
264,1.3051240608848653e+00
265,1.4561147420057359e+00
266,1.4486835026843419e+00
267,1.3802406265144218e+00
268,1.4021833427414021e+00
269,1.5345938772619603e+00
270,1.3354637634285300e+00
271,1.4776626596269873e+00
272,1.4582486306979088e+00
273,1.2746379739712232e+00
274,1.3272472733083012e+00
275,1.4547995324714798e+00
276,1.2879187358140547e+00
277,1.3334770524030251e+00
278,1.3908356509170803e+00
279,1.3633229416483905e+00
280,1.3599219323254343e+00
281,1.4702525119068930e+00
282,1.3557838061616447e+00
283,1.3722287146674526e+00
284,1.3594716463505114e+00
285,1.3032600316039551e+00
286,1.2699484570948527e+00
287,1.3752246301793503e+00
288,1.2684473659281501e+00
289,1.2648099331027853e+00
290,1.3090776424489881e+00
291,1.2714704429212909e+00
292,1.2397571871237318e+00
293,1.3692372397565049e+00
294,1.2828680022363517e+00
295,1.2559401470273572e+00
296,1.2824519039438318e+00
297,1.2867887880410798e+00
298,1.2206425886607819e+00
299,1.2185072217914212e+00
300,1.2477344144984250e+00
301,1.2575627222777468e+00
302,1.1815927928925756e+00
303,1.2566444107026704e+00
304,1.2735968889472531e+00
305,1.1994976580299197e+00
306,1.1896840920653848e+00
307,1.3197896686709285e+00
308,1.2533235644369458e+00
309,1.2393202268159309e+00
310,1.3154693319808775e+00
311,1.2993289608057490e+00
312,1.1911900820715859e+00
313,1.2267788701866480e+00
314,1.2540918660913103e+00
315,1.2407814294667534e+00
316,1.2613277014221056e+00
317,1.3062791888819110e+00
